Name,Opening Hours,Street Address,Phone,Long,Lat
Branxholme,Non-24 Hours,Monroe Street,(03) 55786222,141.799225,-37.8570386
Briagolong,Non-24 Hours,19/21 Avon Street,(03) 51455213,147.0765968,-37.8444439
Bridgewater,Non-24 Hours,Park Street,(03) 54373232,143.9403884,-36.601183
Bright,Non-24 Hours,7 Park Street,(03) 57551444,146.962122,-36.73172765
Broadford,Non-24 Hours,156 High Street,(03) 57841404,145.0553196,-37.2035135
Broadmeadows,24 Hours,15 Dimboola Road,(03) 93028222,144.9165236,-37.6832159
Broadmeadows Prosecutions,Non-24 Hours,15 Dimboola Road,(03) 93028263,144.9165236,-37.6832159
Brunswick,24 Hours,630 Sydney Road,(03) 83786000,144.9630541,-37.7628174
Bruthen,Non-24 Hours,45 Main Street,(03) 51575221,147.83096,-37.7073679
Buchan,Non-24 Hours,Main Street,(03) 51559268,148.1721,-37.4992
Buninyong,Non-24 Hours,310 Scott Street,(03) 53413431,143.8860478,-37.652104
Bunyip,Non-24 Hours,4 Pearson Street,(03) 56295205,145.7175415,-38.0965733
Burwood,Non-24 Hours,64 Burwood Hwy,(03) 98888377,145.0981719,-37.8509547
Camberwell,24 Hours,317 Camberwell Road,(03) 98820688,145.059385,-37.8332439
Camperdown,Non-24 Hours,49 Fergusson Street,(03) 55931000,143.1457176,-38.2300561
Cann River,Non-24 Hours,Monaro Hwy,(03) 51586202,149.1510979,-37.5659067
Caroline Springs,Non-24 Hours,221 Caroline Springs Blvd Road,(03) 93614700,144.741472,-37.731385
Carrum Downs,Non-24 Hours,42 Ballarto Road,(03) 87704100,145.161442,-38.113166
Casterton,Non-24 Hours,2 Jackson Street,(03) 55811024,141.4060081,-37.5852467
Castlemaine,24 Hours,32 Templeton Street,(03) 54704100,144.2182551,-37.0633939
Caulfield,24 Hours,289 Hawthorn Road,(03) 95249500,145.0266,-37.884
Cavendish,Non-24 Hours,Scott Street,(03) 55742206,142.0464087,-37.527929
Charlton,Non-24 Hours,12 Camp Street,(03) 54911011,143.3490448,-36.2698011
Chelsea,24 Hours,312 Station Street,(03) 87733200,145.1153531,-38.050076
Cheltenham,24 Hours,1224 Nepean Hwy,(03) 95839767,145.0527625,-37.9587024
Chiltern,Non-24 Hours,0 Main Street,(03) 57261222,146.6078736,-36.1547046
Churchill,Non-24 Hours,4-6 Switchback Road,(03) 51221790,146.4161642,-38.3079128
Clayton,Non-24 Hours,263 Clayton Road,(03) 95433888,145.1203129,-37.9201209
Clunes,Non-24 Hours,21 Hannah Street,(03) 53453211,143.7844827,-37.2952944
Cobden,Non-24 Hours,52 Curdie Street,(03) 55951550,143.0809555,-38.3290581
Cobram,Non-24 Hours,William Street,(03) 58711977,145.6507759,-35.9198498
Cohuna,Non-24 Hours,25 Market Street,(03) 54564150,144.2218753,-35.8106615
Colac,24 Hours,Cnr Dennis & Queen Street,(03) 52300000,143.58,-38.34
Coleraine,Non-24 Hours,61 McLeod Street,(03) 55752323,141.693419,-37.599688
Collingwood,24 Hours,1 Eddy Court,(03) 84131700,144.993602,-37.80387
Corio,24 Hours,117 Bacchus Marsh Road,(03) 52739555,144.3587027,-38.0716925
Corryong,Non-24 Hours,17 Jardine Street,(02) 60761666,147.9039047,-36.1947822
Cowes,Non-24 Hours,92 Chapel Street,(03) 59522037,145.2391149,-38.4502189
Craigieburn,24 Hours,155-165 Craigieburn Road,(03) 93034433,144.9331486,-37.5986773
Cranbourne,24 Hours,168 Sladen Street,(03) 59910600,145.2827407,-38.1129462
Cressy,Non-24 Hours,Lyons Street,(03) 52388221,143.6317454,-38.033011
Creswick,Non-24 Hours,137 Napier Street,(03) 53452220,143.8923839,-37.4298583
Croydon,24 Hours,171-175 Mt Dandenong Road,(03) 97240100,145.2785836,-37.799029
Culgoa,Non-24 Hours,17 Main Street,(03) 50772225,143.1064034,-35.7163182
Dandenong,24 Hours,50 Langhorne,(03) 97677444,145.2171922,-37.9901765
Dartmoor,Non-24 Hours,Wapling Avenue,(03) 55281222,141.2837704,-37.9220177
Daylesford,Non-24 Hours,12 Vincent Street,(03) 53482342,144.1425975,-37.3403703
Dederang,Non-24 Hours,0 Kiewa Valley Hwy,(02) 60289310,146.9993627,-36.453155
Diamond Creek,Non-24 Hours,83 Main Hurstbridge Road,(03) 94388300,145.1667767,-37.6739204
Dimboola,Non-24 Hours,57 Llyod Street,(03) 53891470,142.027882,-36.45644
Donald,Non-24 Hours,13 Byrne Street,(03) 54971530,142.9842071,-36.373694
Doncaster,24 Hours,979 Doncaster Road,(03) 88413999,145.1719428,-37.7901719
Dookie,Non-24 Hours,26 Queen Street,(03) 58286213,145.6849861,-36.330277
Dromana,Non-24 Hours,* Cnr Nepean Highway & McCulloch Street,(03) 59872023,144.960628,-38.337484
Drouin,Non-24 Hours,184 Princes Hwy,(03) 56252003,145.849323,-38.130212
Drysdale,Non-24 Hours,"	27 High Street",(03) 52531763,144.5703287,-38.1734337
Dunkeld,Non-24 Hours,Parker Street,(03) 55772260,142.345324,-37.649787
Dunolly,Non-24 Hours,16 Bull Street,(03) 54681100,143.7308395,-36.8586248
Eaglehawk,Non-24 Hours,Brazier Street,(03) 54463911,144.2533299,-36.7232288
Eastern Region RIMU,Non-24 Hours,420 Burwood Hwy,(03) 98377886,145.2371923,-37.8699136
Echuca,24 Hours,150 Sturt Street,(03) 54831500,144.7527252,-36.1251584
Edenhope,Non-24 Hours,5 Orme Street,(03) 55851003,141.2927857,-37.0363151
Eildon,Non-24 Hours,Lot 5 Hillside Avenue,(03) 57742104,145.9109415,-37.2323928
Elmhurst,Non-24 Hours,High Street,(03) 53548220,143.251081,-37.1807931
Elmore,Non-24 Hours,60 Hervey Street,(03) 54326004,144.611833,-36.4943817
Eltham,24 Hours,21 Pryor Street,(03) 94304500,145.1507851,-37.7135903
Emerald,Non-24 Hours,386 - 390 Belgrave Gembrook Road,(03) 59540200,145.4450775,-37.9287167
Endeavour Hills,Non-24 Hours,80 Heatherton Road,(03) 97097666,145.2779873,-37.9773297
Epping,24 Hours,785 High Street,(03) 94098100,145.0234876,-37.6520277
Euroa,Non-24 Hours,40 Kirkland Avenue,(03) 57952017,145.5726733,-36.7517091
Falls Creek (Snow Season),Non-24 Hours,0 Falls Creek Road,(03) 57583424,147.276276,-36.8638519
Fawkner,24 Hours,1151 Sydney Road,(03) 93556000,144.9595724,-37.6976712
Fitzroy,24 Hours,13 Condell Street,(03) 99346400,144.9791321,-37.8022231
Flemington,24 Hours,30 Wellington Street,(03) 93716100,144.9320649,-37.78539945
Footscary,24 Hours,66 Hyde Street,(03) 83989800,144.9011937,-37.80392655
Forest Hill,24 Hours,469 Springvale Road,(03) 88473600,145.1714339,-37.8457412
Forest Hill DIU - ED1,Non-24 Hours,469 Springvale Road,(03) 88473659,145.1714339,-37.8457412
Forrest,Non-24 Hours,Station Street,(03) 52366372,143.716796,-38.517936
Foster,Non-24 Hours,69-71 Main Street,(03) 56822407,146.2023127,-38.6521402
Frankston,24 Hours,15 Fletcher Road,(03) 97845555,145.1267263,-38.1456931
Frankston DIU,Non-24 Hours,42 Ballarto Road,(03) 87704188,145.161442,-38.113166
Frankston Prosecutions,Non-24 Hours,15 Fletcher Road,(03) 97845611,145.1267263,-38.1456931
Geelong,24 Hours,110 Mercer Street,(03) 52253100,144.3580097,-38.1459956
Geelong Prosecutions,Non-24 Hours,110 Mercer Street,(03) 52253254,144.3580097,-38.1459956
Gibsborne,Non-24 Hours,35 Robertson Street,(03) 54282500,144.586,-37.4854
Glen Waverley,24 Hours,643 Ferntree Gully Road,(03) 95661555,145.164197,-37.9032904
Glenrowan,Non-24 Hours,0 Gladstone Street,(03) 57662215,146.2127493,-36.4658681
Goornong,Non-24 Hours,Grant Street,(03) 54322207,144.5043203,-36.6166015
Gordon,Non-24 Hours,Main Street,(03) 53689202,144.1093592,-37.582382
Goroke,Non-24 Hours,Main Street,(03) 53861004,141.47097,-36.719047
Greensborough Uniform,24 Hours,167-169 Grimshaw Street,(03) 84320200,145.1007199,-37.704453
Gunbower,Non-24 Hours,42 Main Street,(03) 54871354,144.365073,-35.956387
Halls Gap,Non-24 Hours,0 Mt Victory (Cnr Grampians) Road,(03) 53564411,142.534951,-37.165876
Hamilton,24 Hours,11 Thompson Street,(03) 55519100,142.0234167,-37.7442153
Harrow,Non-24 Hours,0 Blair Street,(03) 55881213,141.5923351,-37.1658704
Hastings,24 Hours,137 High Street,(03) 59707800,145.1878694,-38.3077046
Healesville,Non-24 Hours,37 Harker Street,(03) 59624422,145.514905,-37.659437
Heathcote,Non-24 Hours,140 High Street,(03) 54333711,144.7102859,-36.924387
Heidelberg Prosecutions,Non-24 Hours,9 Jika Street,(03) 94508160,145.0711389,-37.7575873
Heidelberg Uniform,24 Hours,7 Jika Street,(03) 94508000,145.0711389,-37.7575873
Heyfield,Non-24 Hours,13 Temple Street,(03) 51482202,146.7850506,-37.9826031
Heywood,Non-24 Hours,9 Lindsay Street,(03) 55271614,141.6244888,-38.1328261
Hopetoun,Non-24 Hours,94 Lascelles Street,(03) 50833031,142.3625636,-35.7238902
Horsham,24 Hours,20 Roberts Avenue,(03) 53829200,142.2027805,-36.7142559
Horsham DIU,Non-24 Hours,20 Roberts Avenue,(03) 53829245,142.2027805,-36.7142559
Horsham Prosecutions,Non-24 Hours,20 Roberts Avenue,(03) 53829246,142.2027805,-36.7142559
Hume CIU,24 Hours,15 Dimboola Road,(03) 93028211,144.9165236,-37.6832159
Hurstibridge,Non-24 Hours,790 Main Road,(03) 97182111,145.1928384,-37.6396498
Inglewood,Non-24 Hours,98 Grant Street,(03) 54383200,143.8704393,-36.5761972
Inverleigh,Non-24 Hours,90 High Street,(03) 52651211,144.0557052,-38.1009596
Inverloch,Non-24 Hours,13 Bayview Avenue,(03) 56741202,145.7296031,-38.6315159
Jamieson,Non-24 Hours,0 Nash Street,(03) 57770505,146.138358,-37.302887
Jeparit,Non-24 Hours,14 Hindemarsh Street,(03) 53972071,141.988595,-36.143313
Kaniva,Non-24 Hours,81 Commercial Street,(03) 53922244,141.2433444,-36.3794804
Katamatite,Non-24 Hours,Beek Street,(03) 58651336,145.6887222,-36.0784012
Keilor Downs,24 Hours,1 Copernicus Way,(03) 93653333,144.8077195,-37.7239394
Kerang,Non-24 Hours,16 Albert Street,(03) 54521955,143.9217758,-35.733021
Kilmore,Non-24 Hours,0 Powlett Street,(03) 57821211,144.951086,-37.303233
Kinglake,Non-24 Hours,15 Whittlesea - Kinglake Road,(03) 57861333,145.3410586,-37.5325849
Knox,24 Hours,414 Burwood Hwy,(03) 98817000,145.2367524,-37.8697759
Knox CIU,Non-24 Hours,414 Burwood Hwy,(03) 98817999,145.2367524,-37.8697759
Knox DIU,Non-24 Hours,414 Burwood Hwy,(03) 98817993,145.2367524,-37.8697759
Knox HWP,Non-24 Hours,414 Burwood Hwy,(03) 98817900,145.2367524,-37.8697759
Knox SOCIT,Non-24 Hours,414 Burwood Hwy,(03) 98817939,145.2367524,-37.8697759
Koo Wee Rup,Non-24 Hours,260 Rossiter Road,(03) 59971404,145.4717998,-38.2091708
Koondrook,Non-24 Hours,67 Main Street,(03) 54531555,144.1306152,-35.6475401
Koroit,Non-24 Hours,97 Commercial Road,(03) 55658202,142.3623129,-38.29155
Korumburra,Non-24 Hours,22 Bridge Street,(03) 56551244,145.8242315,-38.4348145
Kyabram,Non-24 Hours,306 Allan Street,(03) 58531777,145.0455432,-36.3135034
Kyneton,24 Hours,16 Jennings Street,(03) 54212900,144.4523621,-37.2478744
Lake Boga,Non-24 Hours,133 Murray Valley Hwy,(03) 50372201,143.6324747,-35.4596077
Lake Bolac,Non-24 Hours,Glenelg Hwy,(03) 53502310,142.830487,-37.7134538
Lakes Entrance,Non-24 Hours,1 Roadknight Street,(03) 51551206,147.994663,-37.8771727
Lancefield,Non-24 Hours,57 Main Road,(03) 54292000,144.736277,-37.278538
Landsborough,Non-24 Hours,2427 St. Arnaud Road,(03) 53569361,143.128534,-37.003641
Lang Lang,Non-24 Hours,11 Westernport Road,(03) 59975444,145.5667004,-38.2640867
Lara,Non-24 Hours,6-10 Forest Road,(03) 52821241,144.396047,-38.023466
Lavers Hill,Non-24 Hours,Great Ocean Road,(03) 52373200,143.3503444,-38.7042751
Laverton,Non-24 Hours,1 Maher Road,(03) 93692122,144.7728416,-37.86352595
Learmonth,Non-24 Hours,43 Main Street,(03) 53432288,143.7186,-37.4234
Leongatha,Non-24 Hours,8 Anderson Street,(03) 56622285,145.9447186,-38.4736263
Lexton,Non-24 Hours,11 Williamson Street,(03) 54667233,143.5139071,-37.2752001
Lilydale,Non-24 Hours,6-10 Albert Road,(03) 97392300,145.3622659,-37.7575364
Linton,Non-24 Hours,82 Sussex Street,(03) 53447211,143.5653511,-37.6829085
Lismore,Non-24 Hours,69 High Street,(03) 55962055,143.3406254,-37.95347755
Loch,Non-24 Hours,Lot 1 Victoria Street,(03) 56594267,145.7098661,-38.3690625
Loch Sport,Non-24 Hours,1 Government Road,(03) 51460556,147.5673636,-38.0578826
Lorne,Non-24 Hours,44 Smith Street,(03) 52892712,143.9764775,-38.5445618
Macarthur,Non-24 Hours,12 Market Street,(03) 55761122,142.0010516,-38.0330065
Macedon,Non-24 Hours,59 Victoria Street,(03) 54261228,144.568,-37.4229
Maffra,Non-24 Hours,38 Johnston Street,(03) 51471026,146.973353,-37.964942
Maldon,Non-24 Hours,Francis Street,(03) 54752210,144.066775,-36.9959992
Mallacoota,Non-24 Hours,Lees Road,(03) 51580280,149.7540545,-37.5625852
Malmsbury,Non-24 Hours,Mollison Street,(03) 54232382,144.3836057,-37.1886385
Malvern,24 Hours,288 Glenferrie Road,(03) 88235600,145.0299997,-37.8559217
Manangatang,Non-24 Hours,Wattle and Coghill Street,(03) 50351291,142.880234,-35.050566
Manningham (Doncaster) CIU,24 Hours,979 Doncaster Road,(03) 88413999,145.1719428,-37.7901719
Mansfield,Non-24 Hours,92 High Street,(03) 57752555,146.0904079,-37.0525345
Mansfield TMU,Non-24 Hours,92 High Street,(03) 57752555,146.086974,-37.052307
Maroondah CIU,Non-24 Hours,31 Ringwood Street,(03) 98713052,145.2273529,-37.8106081
Maroondah HWP,Non-24 Hours,414 Burwood Hwy,(03) 98817900,145.2367524,-37.8697759
Maryborough,24 Hours,55-61 Clarendon Street,(03) 54603300,143.7353421,-37.0471936
Marysville,Non-24 Hours,1 Pack Road,(03) 59633222,145.7470257,-37.511627
Meeniyan,Non-24 Hours,139 Whitelaw Street,(03) 56647281,146.010652,-38.580059
Melbourne Airport,24 Hours,2 Francis Briggs Road,(03) 83463400,144.8573181,-37.6782521
Melbourne East,24 Hours,226 Flinders Lane,(03) 96371100,144.966443,-37.816511
Melbourne North,24 Hours,36 Wreckyn Street,(03) 83790800,144.9547372,-37.80036805
Melbourne Prosecutions,Non-24 Hours,456 Longsdale Street,(03) 86283200,144.958688,-37.813104
Melbourne West,24 Hours,313 Spencer Street,(03) 86904444,144.9512028,-37.8135266
Melbourne West Precinct Policing,24 Hours,313 Spencer Street,(03) 86904444,144.9512028,-37.8135266
Melton,24 Hours,243 Station Road,(03) 97477999,144.5776647,-37.685772
Merbein,Non-24 Hours,119 Commercial Street,(03) 50252201,142.0589812,-34.1679171
Meredith,Non-24 Hours,Staughton Avenue,(03) 52861222,144.0755,-37.8437
Merino,Non-24 Hours,Cnr Annesley & Burke Street,(03) 55791205,144,-37
Mernda,24 Hours,542 Bridge Inn Road,(03) 92161200,145.0716114,-37.5978044
Mildura,24 Hours,62-68 Deakin Avenue,(03) 50185300,142.163776,-34.1839838
Mildura CIU,24 Hours,62-68 Deakin Avenue,(03) 50185300,142.163776,-34.1839838
Mildura Prosecutions,Non-24 Hours,62-68 Deakin Avenue,(03) 50185401,142.163776,-34.1839838
Mill Park,24 Hours,151 Centenary Drive,(03) 94073333,145.0648452,-37.6571398
Minyip,Non-24 Hours,106 Main Street,(03) 53857310,142.5889711,-36.4580881
Mirboo North,Non-24 Hours,Ridgway Street,(03) 56681444,146.159,-38.401
Mitchell TMU,Non-24 Hours,58 Tallarook Road,(03) 57350228,145.130084,-37.020366
Mitta Mitta,Non-24 Hours,0 Omeo Hwy,(02) 60723564,147.4347218,-36.6616041
Moe,24 Hours,3 Anzac Street,(03) 51281100,146.265294,-38.1761403
Monash CIU,Non-24 Hours,1 Atherton Road,(03) 95678910,145.0882009,-37.8986342
Monbulk,Non-24 Hours,58 Main Road,(03) 97566266,145.4072182,-37.8746035
Moonee Ponds,24 Hours,766 Mt Alexander Road,(03) 93735200,144.9243195,-37.76460305
Moorabbin,24 Hours,1011-1013 Nepean Hwy,(03) 95566565,145.0362517,-37.9350478
Moorabbin Prosecutions,Non-24 Hours,1140 Nepean Hwy,(03) 90905888,145.0462111,-37.9495462
Mooroolbark,24 Hours,Cnr Hull and Cambridge Road,(03) 97259999,145.326398,-37.780965
Mooroopna,Non-24 Hours,119 McLennan Street,(03) 58254131,145.3561216,-36.3955259
Mordialloc,24 Hours,31 Albert Street,(03) 95882988,145.0863054,-38.003767
Mornington,24 Hours,8 Main Street,(03) 59704900,145.0368951,-38.21636745
Mortlake,Non-24 Hours,32 Officer Street,(03) 55992501,142.8085068,-38.07874
Morwell,24 Hours,14 Hazelwood Road,(03) 51315000,146.3948189,-38.2368464
Morwell DIU,Non-24 Hours,8-10 Hazelwood Road,(03) 51315021,146.3948189,-38.2368464
Morwell Prosecutions,Non-24 Hours,8-10 Hazelwood Road,(03) 51315032,146.3948189,-38.2368464
Mount Beauty,Non-24 Hours,0 Park Street,(03) 57544244,147.1710465,-36.7435402
Mount Evelyn,Non-24 Hours,17 York Road,(03) 97362473,145.3763735,-37.7901933
Mount Hotham (Snow Season),Non-24 Hours,0 Alpine Road,(03) 57593535,147.142095,-36.981068
Mount Waverley,Non-24 Hours,338 Stephensons Road,(03) 98883755,145.1284662,-37.880498
Moyhu,Non-24 Hours,31 Bartley Street,(03) 57279206,146.3751604,-36.5781842
Mt Buller,Non-24 Hours,Chamois Close,(03) 57776172,146.4514943,-37.1461507
Murchison,Non-24 Hours,8 Watson Street,(03) 58262222,145.2203699,-36.620237
Murrayville,Non-24 Hours,Reed Street,(03) 50952170,141.1826772,-35.2635066
Murtoa,Non-24 Hours,13 Degenhardt Street,(03) 53852252,142.4696466,-36.6166237
Myrtleford,Non-24 Hours,2 Queen Street,(03) 57521003,146.72597,-36.56113
Nagambie,Non-24 Hours,0 Filson Street,(03) 57942526,145.1556817,-36.7846798
Narre Warren,24 Hours,8 Coventry Road,(03) 97053111,145.3111174,-38.0257623
Nathalia,Non-24 Hours,66 Blake Steet,(03) 58662404,145.203419,-36.059753
Natimuk,Non-24 Hours,39 Main Street,(03) 53871280,141.9469242,-36.7398494
Neerim South,Non-24 Hours,76 Main Street,(03) 56281303,145.9538,-38.0157
Newstead,Non-24 Hours,Lyons Street,(03) 54762250,144.0544743,-37.1084722
Nhill,Non-24 Hours,50 Nelson Street,(03) 53911022,141.6439393,-36.3324987
Nillumbik TMU,Non-24 Hours,21 Pryor Street,(03) 94304537,145.1507851,-37.7135903
North Ballarat Police Station,Non-24 Hours,734 Norman Street,(03) 53312816,143.868349,-37.5375486
Northcote,24 Hours,48 Dennis Street,(03) 94030200,145.0021205,-37.76623395
Numurkah,Non-24 Hours,19 Saxon Street,(03) 58623311,145.447149,-36.088355
Nunawading,Non-24 Hours,401 Whitehorse Road,(03) 98714111,145.1832649,-37.8173199
Nunawading HWP,Non-24 Hours,401 Whitehorse Road,(03) 98714111,145.1832649,-37.8173199
Nyah,Non-24 Hours,2 Hayes Hill Road,(03) 50302435,143.378112,-35.171683
Oakleigh,24 Hours,1 Atherton Street,(03) 95678900,145.088003,-37.898323
Olinda,Non-24 Hours,549A Mt Dandenong Tourist Road ,(03) 97511241,145.3644862,-37.8559311
Omeo,Non-24 Hours,Tongio Road,(03) 51591222,147.5915329,-37.1013554
Orbost,Non-24 Hours,1 Lawson Lane,(03) 51541073,148.460866,-37.7074194
Ouyen,Non-24 Hours,19 Pickering Street,(03) 50922502,142.3140553,-35.0702221
Pakenham,24 Hours,780 Princes Hwy,(03) 59452500,145.4525439,-38.06196355
Penshurst,Non-24 Hours,37 Martin Street,(03) 55765222,142.289782,-37.874392
Piangil,Non-24 Hours,49 Murray Street,(03) 50305244,143.310374,-35.0540794
Port Campbell,Non-24 Hours,61 Lord Street,(03) 55986310,142.9954176,-38.6195066
Port Fairy,Non-24 Hours,Campbell Street,(03) 55681007,142.2364368,-38.3875898
Portarlington,Non-24 Hours,119 Newcombe Street,(03) 52592606,144.647982,-38.1146085
Portland,24 Hours,Glenelg Street,(03) 55221500,141.6087219,-38.3527157
Prahran,24 Hours,396 Malvern Road ,(03) 95205200,144.9987007,-37.8474801
Preston,24 Hours,Roseberry Avenue,(03) 94796111,145.0056249,-37.7389814
Prosecutions Division Headquarters,Non-24 Hours,456 Longsdale Street,(03) 86283270,144.958688,-37.813104
Prosecutions Research & Training,Non-24 Hours,"Level 2, 456 Lonsdale Street",(03) 86283280,144.958688,-37.813104
Pyalong,Non-24 Hours,0 High Street,(03) 57851212,144.8583182,-37.124981
Pyramid Hill,Non-24 Hours,9 Victoria Street,(03) 54557000,144.1129824,-36.0548753
Quambatook,Non-24 Hours,5 Guthrie Street,(03) 54571200,143.5213943,-35.8510862
Queenscliff,Non-24 Hours,53 Gellibrand Street,(03) 52584285,144.662664,-38.2675817
Rainbow,Non-24 Hours,23 Lake Street,(03) 53951051,141.9953336,-35.902299
Rawson,Non-24 Hours,4 Pinnacle Drive,(03) 51653444,146.395333,-37.9571547
Raywood,Non-24 Hours,29A Sandhurst Street,(03) 54361200,144.2067072,-36.5341071
Red Cliffs,Non-24 Hours,9 Jacaranda Street,(03) 50241201,142.186492,-34.3100515
Reservoir,24 Hours,25 Edwardes Street,(03) 94606744,144.9909699,-37.7157912
Richmond,24 Hours,217 Church Street,(03) 84203600,144.9996982,-37.81750955
Riddells Creek,Non-24 Hours,65 Main Road,(03) 54286171,144.6627001,-37.4668348
Ringwood,24 Hours,31 Ringwood Street,(03) 98713000,145.2273529,-37.8106081
Ringwood Prosecutions,Non-24 Hours,1 Bourke Street,(03) 98712777,145.2242496,-37.8129125
Robinvale,Non-24 Hours,95 Bromley Road,(03) 50263002,142.770616,-34.585535
Rochester,Non-24 Hours,29 Moore Street,(03) 54841100,144.699314,-36.363212
Rokewood,Non-24 Hours,54 Ferrars Street,(03) 53461342,143.721653,-37.90095
Romsey,Non-24 Hours,155 Main Street,(03) 54295461,144.7415665,-37.3437963
Rosebud,24 Hours,95 Boneo Road,(03) 59860444,144.8890284,-38.3802274
Rosedale,Non-24 Hours,Lyons Street,(03) 51992222,146.789851,-38.152483
Rowville,Non-24 Hours,30 Fulham Road,(03) 97640996,145.2399236,-37.9189092
Rupunyup,Non-24 Hours,62 Cromie Street,(03) 53855078,142.630909,-36.635837
Rushworth,Non-24 Hours,73 High Street,(03) 58561000,145.0162622,-36.5885536
Rutherglen,Non-24 Hours,167 High Street,(02) 60329612,146.4617385,-36.0524637
Rye,Non-24 Hours,2 Dundas Street,(03) 59852582,144.818964,-38.370519
Sale,24 Hours,1-11 Reeve Street,(03) 51422200,147.0611997,-38.111629
Sale Prosecutions,Non-24 Hours,1-11 Reeve Street,(03) 51422200,147.0611997,-38.111629
San Remo,Non-24 Hours,Phillip Island Road,(03) 56785500,145.3716959,-38.5204052
Sea Lake,Non-24 Hours,Corner of Hannon St & Calder Hwy Street,(03) 50701301,142.853173,-35.501975
Serpentine,Non-24 Hours,1 Tresise Street,(03) 54378318,143.973955,-36.406532
Seymour,24 Hours,58 Tallarook Street,(03) 57350200,145.1289545,-37.0194511
Seymour CIU,Non-24 Hours,58 Tallarook Street,(03) 57921621,145.1289545,-37.0194511
Seymour DIU,Non-24 Hours,58 Tallarook Street,(03) 57350222,145.1289545,-37.0194511
Seymour Prosecutions,Non-24 Hours,58 Tallarook Street,(03) 57350256,145.1289545,-37.0194511
Shepparton,24 Hours,155 Welsford Street,(03) 58205777,145.3978249,-36.3809096
Shepparton Prosecutions,Non-24 Hours,155 Welsford Street,(03) 58205842,145.3978249,-36.3809096
Skipton,Non-24 Hours,22 Blake Street,(03) 53402001,143.3615113,-37.6841864
